ISSN,EISSN,中科院分区
1849-2339,2459-5160,4
0365-0596,1806-4841,3
2238-2925,,4
0001-3765,1678-2690,4
2027-7458,2390-0067,4
1224-1784,1844-0835,4
0068-3175,2537-4044,4
1582-2486,2821-8078,4
0327-358X,1850-1168,4
0569-9878,1988-8325,3
1575-2437,1697-7904,4
0213-2958,1989-4678,4
0211-9803,1988-2378,4
0214-6452,1988-2491,3
2301-1254,,4
0272-1635,,4
0717-6058,0719-0913,4
0212-5889,2695-4257,3
0210-4547,1988-2351,4
1695-4033,1695-9531,4
0212-9728,1695-2294,4
0534-3232,2531-2308,4
0211-1322,1988-3196,4
0211-2337,1988-2564,3
1137-6627,2340-3527,4
0569-9924,2161-301X,4
1330-0598,1848-7815,4
0211-2175,2340-5236,4
0326-1301,1851-9636,4
0925-1030,1573-1979,4
1529-7489,1530-2415,4
1715-9261,,4
1948-206X,,1
2629-2742,,4
0219-5305,1793-6861,2
2299-3274,,3
1664-2368,1664-235X,3
1672-4070,1573-8175,4
0133-3852,1588-273X,4
0889-9401,2196-8926,4
0174-4747,2196-6753,4
0003-2638,1467-8284,2
0003-2654,1364-5528,3
2213-6657,2213-6665,1
2153-9596,2153-960X,3
0003-2670,1873-4324,2
2008-4226,,4
2383-093X,,4
1618-2642,1618-2650,2
0003-2697,1096-0309,4
2210-7177,2210-7185,4
2229-7928,2230-7532,4
0003-2700,1520-6882,1
0003-2719,1532-236X,4
1759-9660,1759-9679,3
2628-5452,,3
1225-0163,2288-8985,4
0910-6340,1348-2246,4
1130-3964,1988-2645,4
0170-5334,1439-0256,4
0939-2661,1439-1074,4
1303-2917,2156-6909,4
2149-2263,2149-2271,4
0066-1546,2048-0849,4
0340-2096,1439-0264,4
1932-8486,1932-8494,4
1447-6959,1447-073X,4
1935-9772,1935-9780,2
2093-3665,2093-3673,4
2042-5937,,4
0929-077X,1570-0577,3
0956-5361,1469-1787,1
1378-4641,1783-1326,4
0329-3807,1851-4669,3
1870-0063,2594-1917,4
0718-7106,,4
2452-6053,,4
0303-4569,1439-0272,4
2047-2919,2047-2927,3
1696-0270,2340-4973,4
2090-1267,2090-1275,4
1214-2158,1805-4412,4
0003-2999,,2
2352-5800,2352-5819,4
1687-6962,1687-6970,3
0003-3022,1528-1175,1
0969-725X,1469-2899,4
1438-2091,1868-9426,4
1433-7851,1521-3773,1
0969-6970,1573-7209,1
0003-3170,1695-2987,4
0003-3197,1940-1574,3
0003-3219,1945-7103,2
0340-5222,1865-8938,3
0972-8066,0972-8074,4
0003-3472,1095-8282,2
1578-665X,2014-928X,4
1570-7555,1570-7563,4
2765-0189,2765-0235,2
1049-5398,1532-2378,3
2050-3385,,3
1976-8354,2151-2485,3
1435-9448,1435-9456,2
1367-9430,1469-1795,2
0377-8401,1873-2216,2
2160-6056,2160-6064,2
0268-9146,1365-2052,4
1466-2523,1475-2654,2
2524-4671,,2
2096-5451,2576-2095,2
2405-6383,2405-6545,1
1836-0939,1836-5787,4
0378-4320,1873-2232,2
1806-9614,1984-3143,4
1344-3941,1740-0929,3
0860-4037,2300-8342,4
0962-7286,2054-1538,3
1751-7311,1751-732X,1
2076-2615,,2
1746-8477,1746-8485,2
1303-2518,,4
1304-7639,2149-8261,4
1300-0861,1308-2817,4
0003-3804,1521-3889,3
0003-3847,1797-2442,4
0003-4266,2213-3941,3
0003-3898,1950-6112,4
0399-0826,2108-6443,4
0151-9107,1958-5934,4
0294-1260,1768-319X,4
0151-9638,2214-5451,3
0373-0956,1777-5310,3
2308-5827,2308-5835,2
0294-1449,1873-1430,2
0246-0203,,3
0037-9271,2168-6351,3
0753-3969,1778-3666,4
0242-6498,2213-008X,4
2737-0690,2737-114X,3
2108-6524,2108-6591,4
0992-7689,1432-0576,3
1424-0637,1424-0661,3
0003-4436,1952-403X,4
1845-4046,1848-6363,4
1787-5021,1787-6117,4
0860-2107,2391-4238,4
2195-4755,2195-4763,4
0003-4487,1769-6631,4
0003-4509,,4
0066-2216,1730-6272,4
0012-9593,1873-2151,1
0208-9068,,4
2081-545X,2300-133X,4
0003-455X,1797-2450,4
0003-4541,1734-1833,3
1408-5348,2591-1775,4
0021-2571,2384-8553,4
0391-173X,2036-2145,2
0365-0812,2239-3129,4
1120-9135,,4
0373-3114,1618-1891,3
1127-8250,2724-5527,4
0003-469X,2239-253X,4
1563-3241,,4
2972-4066,,4
1748-4995,1748-5002,3
1596-3519,0975-5764,4
1232-1966,1898-2263,4
0570-1783,2090-8377,2
1081-1206,1534-4436,2
0940-9602,1618-0402,3
1642-3402,2300-8733,4
2153-957X,2153-9588,4
0003-4746,1744-7348,3
1050-5164,,2
2322-4479,,4
1932-6157,1941-7330,4
0883-6612,1532-4796,2
0090-6964,1573-9686,3
0305-7364,1095-8290,2
0971-9784,0974-5181,4
2225-319X,2304-1021,2
0097-4463,1943-6300,4
2667-663X,,4
0091-7370,1550-8080,4
2328-9503,,2
0004-5632,1758-1001,4
1476-0711,,2
1040-1237,1547-3325,4
2287-9714,2287-9722,3
0218-0006,0219-3094,3
1013-9087,2005-3894,4
1092-9134,1532-8198,4
0736-9387,1934-7243,3
1529-7373,,4
0196-0644,1097-6760,1
1047-2797,1873-2585,3
1544-1709,1544-1717,2
1614-2446,1614-2454,4
2010-4952,2010-4960,4
1844-8135,2065-2445,4
1286-4560,1297-966X,3
2639-7390,2008-8752,3
2475-0328,,3
1108-7471,1792-7463,4
1744-859X,,3
1593-5213,2037-416X,4
2508-4909,,4
1947-5683,1947-5691,3
0260-3055,1727-5644,4
0232-704X,1572-9060,4
2214-9996,,3
0939-5555,1432-0584,3
2508-5778,2508-5859,4
1665-2681,,3
0301-4460,1464-5033,4
0003-4800,1469-1809,4
0972-2327,1998-3549,4
2588-8358,2588-8366,4
2110-5820,,1
0003-4819,1539-3704,1
2415-6809,,4
2379-1683,2379-1691,3
2079-7192,2079-0694,4
2234-3806,2234-3814,2
2518-6973,,4
1174-5398,2159-6816,3
0972-5423,0975-2404,4
2380-288X,2380-2898,4
1012-2443,1573-7470,4
0003-486X,1939-8980,1
2049-0801,,4
0785-3890,1365-2060,2
1590-4261,1869-2044,3
0364-5134,1531-8249,1
0972-7531,0976-3260,4
1082-720X,1542-474X,4
0306-4549,1873-2100,3
0914-7187,1864-6433,4
0250-6807,1421-9697,4
2052-4374,,4
0923-7534,1569-8041,1
0254-5330,1572-9338,4
0003-4894,1943-572X,4
2524-5317,2199-2576,1
0974-2069,0974-5149,4
2287-1012,2287-1292,3
1687-4137,2090-5394,4
1060-0280,1542-6270,4
1877-0657,1877-0665,2
0003-4916,1096-035X,3
2393-9885,2278-9839,4
0148-7043,1536-3708,4
0091-1798,,1
1370-4788,1467-8292,3
0168-0072,1873-2461,2
0570-1864,1432-0592,3
2234-0653,,4
0256-4947,1319-9226,4
0003-3790,1464-505X,1
0090-5364,,1
0003-4932,1528-1140,1
1068-9265,1534-4681,2
2288-6575,2288-6796,4
0003-4347,1958-9395,4
0002-7162,1552-3349,3
2469-4452,2469-4460,2
1546-3222,2325-6621,2
0013-8746,1938-2901,2
0020-3157,1572-9052,4
0026-6493,2162-4372,3
0077-8923,1749-6632,2
0003-4967,1468-2060,1
0035-8843,1478-7083,4
1843-5157,2068-259X,4
1223-6934,2246-9958,4
1341-1098,2186-1005,4
1817-1737,1998-3557,4
0003-4975,1552-6259,2
2666-9579,,3
0160-7383,1873-7722,1
1425-9524,,4
1881-641X,1881-6428,4
0890-5096,1615-5947,4
2398-7308,2398-7316,4
2109-9405,,4
0003-5033,1955-2580,4
0068-2454,2045-2403,2
2639-3832,,4
1936-1327,1936-1335,2
2165-8102,2165-8110,1
0084-6570,1545-4290,1
0267-1905,1471-6356,1
0066-4146,1545-4282,1
0066-4154,1545-4509,1
2574-3414,,2
1523-9829,1545-4274,1
1936-122X,1936-1238,1
2472-3428,,2
1081-0706,1530-8995,1
1947-5438,1947-5446,1
1548-5943,1548-5951,1
1947-5454,1947-5462,2
2573-5144,,1
2572-4568,,1
1554-8716,2352-927X,4
0084-6597,1545-4495,1
1543-592X,1545-2069,1
1941-1383,1941-1391,1
0066-4170,1545-4487,1
1543-5938,1545-2050,1
1941-1367,1941-1375,2
0066-4189,1545-4479,1
1941-1413,1941-1421,1
0066-4197,1545-2948,1
1527-8204,1545-293X,1
0732-0582,1545-3278,1
1550-3585,1550-3631,2
2333-9691,,1
1941-1405,1941-0611,1
1531-7331,1545-4118,1
0066-4219,1545-326X,1
0066-4227,1545-3251,1
0147-006X,1545-4126,1
0163-8998,1545-4134,2
0199-9885,1545-4312,1
2327-0608,2327-0616,1
1553-4006,1553-4014,1
0362-1642,1545-4304,1
0066-426X,1545-1593,1
0066-4278,1545-1585,1
0066-4286,1545-2107,1
1543-5008,1545-2123,1
1094-2939,1545-1577,1
0066-4308,1545-2085,1
0163-7525,1545-2093,1
1941-1340,1941-1359,3
0360-0572,1545-2115,1
2326-8298,2326-831X,1
2327-056X,2327-0578,1
2374-4642,2374-4650,2
1367-5788,1872-9088,2
1983-201X,0104-236X,4
0895-769X,1940-3364,4
1134-7937,2174-0437,4
0954-1020,1365-2079,4
1984-4921,,4
2561-4150,,4
2053-0196,2053-020X,3
2213-3054,,2
0066-4677,1469-2902,2
1755-2923,1755-2931,4
2227-7242,2304-9685,3
1408-032X,,4
0003-5491,1534-1518,4
0918-7960,1348-8570,4
1463-4996,1741-2641,2
2111-5028,,4
0323-1119,,4
0003-5521,1873-5827,4
0003-5548,,4
2374-2267,,4
0161-7761,1548-1492,3
1364-8470,1469-2910,4
0967-201X,1752-2285,4
1053-4202,1556-3537,4
0883-024X,1548-1417,4
2332-3256,2332-3264,4
0268-540X,1467-8322,3
0257-9774,,4
0761-3032,2107-0881,4
0892-7936,1753-0377,3
1871-5206,1875-5992,4
0959-4973,1473-5741,4
0003-5599,1758-4221,3
2286-7511,2287-0113,3
2079-6382,,3
2073-4468,,4
0250-7005,1791-7530,4
0066-4774,2056-8819,3
0003-5696,1613-0421,4
0066-4804,1098-6596,2
2047-2994,,2
1523-0864,1557-7716,2
2076-3921,,2
1543-9925,1543-9933,4
0066-4812,1467-8330,1
0893-5580,2331-9089,4
0003-5815,1758-5309,4
0003-598X,1745-1744,1
1973-5030,1974-4501,4
1984-3356,,4
0166-3542,1872-9096,2
1359-6535,2040-2058,4
0003-6072,1572-9699,3
2039-2281,,4
0870-0990,2182-7982,4
2014-1408,,4
2014-1394,,4
1888-8046,,4
2027-1131,2145-4493,4
0120-2456,2256-5647,4
0210-5810,1988-4273,2
0066-5061,1988-4230,3
0518-0872,,4
1133-0104,2174-0887,4
0122-2066,2145-8499,4
1853-7049,,4
1133-0740,2174-0542,4
0066-5126,1988-5253,4
1578-3138,,4
0066-5215,,4
2346-3120,,4
0326-9671,2524-9339,4
2014-8860,,3
1870-4654,,4
0211-3538,1988-4125,4
0120-7555,2346-206X,4
1061-5806,1477-2205,3
1445-1433,1445-2197,4
1446-1811,1446-8735,4
2041-2851,,3
0001-2092,1878-0369,4
2463-4131,,4
0003-6390,2156-7093,3
0003-6420,,4
0268-7038,1464-5041,4
0044-8435,1297-9678,3
2473-2877,,3
2166-532X,,3
2378-0967,,2
0903-4641,1600-0463,4
0003-6536,,4
1360-8185,1573-675X,2
0213-5868,2386-4850,4
2321-4600,2321-1407,4
1696-7348,,4
0363-2318,1940-5081,4
1205-612X,1925-4938,4
0195-6663,1095-8304,2
0938-1279,1432-0622,3
1452-8630,,3
0003-6811,1563-504X,4
1178-704X,,3
1932-9466,,4
2666-352X,,3
2666-4968,,4
2168-0450,,3
0862-7940,1572-9109,4
0003-682X,1872-910X,2
1063-5203,1096-603X,2
1683-3511,1683-6154,2
0099-2240,1098-5336,2
1687-7667,1687-7675,4
0168-1591,1872-9045,2
2590-2873,2590-2865,4
0883-9514,1087-6545,4
0273-2289,1559-0291,3
0003-6838,1608-3024,4
2468-0834,2468-0842,3
0972-0979,0974-4517,4
1176-2322,1754-2103,4
1535-6760,2470-1246,4
0926-860X,1873-3875,2
0926-3373,1873-3883,1
0927-2852,1572-9095,3
1225-0112,1228-4505,4
0169-1317,1872-9053,2
1869-0327,,3
0888-4080,1099-0720,3
0929-189X,1573-4897,3
1054-4887,1943-5711,4
1687-9724,1687-9732,4
2255-8683,2255-8691,4
2590-1974,,3
2634-1964,2210-8327,4
1559-6915,,4
1088-8691,1532-480X,3
2572-6838,2572-6846,4
1589-1623,1785-0037,4
2632-7627,,3
2040-5790,2040-5804,3
1350-4851,1466-4291,4
0003-6846,1466-4283,4
0306-2619,1872-9118,1
0883-8542,1943-7838,4
0003-6862,1347-605X,4
0003-6870,1872-9126,2
2345-5357,2423-4214,4
2772-5022,,3
1989-4147,,4
0883-2927,1872-9134,3
0143-6228,1873-7730,2
1866-9298,1866-928X,4
1672-7975,1993-0658,4
1175-5652,1179-1896,3
1541-2016,1533-4058,4
0924-669X,1573-7497,3
1868-6303,1868-6311,2
0142-6001,1477-450X,1
0937-9347,1613-7507,4
2352-9407,,2
0307-904X,1872-8480,2
0096-3003,1873-5649,2
0253-4827,1573-2754,2
0095-4616,1432-0606,2
1607-2510,,4
2769-0911,,4
0893-9659,1873-5452,2
1005-1031,1993-0445,4
0895-7347,1532-4818,4
0003-6900,2379-0407,1
0175-7598,1432-0614,3
2380-0127,2380-0135,4
2364-8228,,4
2327-9095,2327-9109,4
2162-2965,2162-2973,4
0168-9274,1873-5460,2
0897-1897,1532-8201,3
0141-1187,1879-1549,2
1570-5838,1875-8533,3
1559-128X,2155-3165,4
0268-2605,1099-0739,2
0947-8396,1432-0630,4
0946-2171,1432-0649,4
1882-0778,1882-0786,3
0003-6951,1077-3118,2
1931-9401,,2
1715-5312,1715-5320,4
0142-7164,1469-1817,2
0146-6216,1552-3497,4
0269-994X,1464-0597,2
1758-0846,1758-0854,2
1090-0586,1573-3270,3
0969-8043,1872-9800,3
0160-9963,1879-2898,4
1871-2584,1871-2576,3
1430-6395,1617-8106,3
2288-6559,,4
2076-3417,,4
1568-4946,1872-9681,2
0929-1393,1873-0272,2
1874-463X,1874-4621,4
0570-4928,1520-569X,2
0003-7028,1943-3530,3
1524-1904,1526-4025,4
2666-5239,,3
0169-4332,1873-5584,2
2571-5577,,4
2049-3010,2049-3029,3
1359-4311,1873-5606,2
1402-2001,1654-109X,3
2190-5487,2190-5495,3
1799-3121,,3
2048-7703,,3
0120-3053,2256-5779,4
2225-7136,2304-0335,4
0252-1865,2223-1757,4
1577-4015,2014-0983,4
2666-5069,,4
2709-8028,2709-8036,4
0144-8609,1873-5614,2
1365-7305,1551-8663,2
1869-215X,1869-7534,2
0967-6120,1573-143X,3
1353-5773,1365-2095,2
2352-5134,,2
1355-557X,1365-2109,4
2693-8847,,4
0044-8486,1873-5622,2
1864-7790,1864-7782,4
0304-3770,1879-1522,4
1052-7613,1099-0755,3
1386-2588,1573-5125,4
1463-4988,1539-4077,4
1380-6165,1573-1421,4
0165-0424,1744-4152,4
1798-6540,1818-5487,3
0990-7440,1765-2952,4
0167-5427,,4
0948-3055,1616-1564,4
2602-473X,,4
1015-1621,1420-9055,3
0166-445X,1879-1514,3
1687-1979,2090-2387,4
2090-598X,2090-5998,4
0268-0556,1573-0255,4
0271-3519,2043-6920,4
2229-9327,,4
0905-7196,1600-0471,3
2193-567X,2191-4281,4
1878-5352,1878-5379,2
2193-5343,2193-5351,4
0957-4239,1474-0524,4
0570-5398,1570-0585,3
1477-8351,1745-5227,3
1575-6823,2340-2199,4
0210-1963,1988-303X,4
0003-7982,1613-0642,4
1132-6891,,4
0003-8008,1816-2959,4
1392-5520,2351-6534,4
1724-6091,1825-3881,4
1866-9557,1866-9565,2
1380-2038,1478-2294,2
0066-5983,2373-2288,2
1075-2196,1099-0763,3
0570-6084,2041-4102,4
2352-2267,2352-2275,3
1555-8622,1935-3987,4
1563-0110,1531-832X,4
0728-4896,1834-4453,2
1463-1725,2048-4194,4
0003-8113,1943-5746,4
0003-813X,1475-4754,2
1984-249X,,4
1120-6861,2385-1953,4
0323-1267,,4
2037-2485,,4
1960-1360,2104-3728,4
0044-8613,2104-3655,4
2384-8898,,4
1935-7001,,4
0003-8504,1554-2769,4
1745-2007,1752-7589,3
2050-5833,,3
0066-622X,2059-5670,4
0003-858X,,4
0003-8628,1758-9622,4
1326-4826,1755-0475,4
2050-7828,2050-7836,3
1899-0142,2720-6947,4
2050-9006,,4
0044-8680,,3
0003-889X,1420-8938,4
0365-6233,1521-4184,3
0003-8970,1866-5381,4
0003-9101,1613-0650,2
1869-0963,2367-0622,4
0003-9292,,4
0066-6459,1867-1551,4
0001-2343,2363-5614,4
0003-9381,2198-0489,4
1436-3038,1868-8888,4
0044-8699,,4
1389-0166,1573-7500,3
0003-9519,1432-0657,2
0933-5846,1432-0665,4
0003-9527,1432-0673,1
0084-6724,1573-6121,4
0939-1533,1432-0681,3
2360-6975,,4
0004-0738,2300-1895,4
0157-6895,2164-6058,3
2325-7962,2325-7989,3
0003-9438,2363-9822,3
0929-693X,1769-664X,4
1775-8785,1778-4190,4
0003-9756,1474-0583,3
1840-4855,2233-0046,4
2645-4904,,4
0137-5075,2300-262X,4
2234-0831,2288-9337,4
0365-0340,1476-3567,4
0003-9853,2327-0667,4
1745-039X,1477-2817,3
0066-6637,1944-6497,2
0003-9861,1096-0384,3
0354-4664,1821-4339,4
2345-4644,2345-461X,4
2300-8822,,4
1643-8698,,4
1875-2136,1875-2128,4
1644-9665,2083-3318,2
1230-2945,2300-3103,4
2345-2641,2008-1081,4
0887-6177,1873-5843,4
1134-3060,1886-1784,1
2300-2611,,4
0340-3696,1432-069X,4
1743-0585,1743-0593,4
1359-2998,1468-2052,2
0003-9888,1468-2044,3
1427-4221,2300-2506,4
2359-3997,2359-4292,4
1933-8244,2154-4700,4
0090-4341,1432-0703,4
2083-4772,2083-4810,4
2792-0550,,4
1897-3310,2299-2944,4
0167-4943,1872-6976,3
0932-0067,1432-0711,4
1105-3992,,4
0739-4462,1520-6327,4
1029-2977,1735-3947,4
0373-2029,,4
0188-4409,1873-5487,4
1734-1922,1896-9151,4
1733-3490,2300-1909,4
0302-8933,1432-072X,4
0860-7001,1689-0469,4
0260-9541,1755-6260,4
2322-3944,2322-5769,4
0003-9969,1879-1506,4
1823-8602,2231-7163,4
0936-8051,1434-3916,3
1862-3522,1862-3514,3
0003-9985,1543-2165,3
2322-1828,2322-1836,4
0253-6269,1976-3786,2
0003-9993,1532-821X,2
1381-3455,1744-4160,4
2057-0082,,3
0323-5408,1477-2906,4
2234-6163,2234-6171,4
0883-9417,1532-8228,4
1509-2046,2083-828X,4
0778-7367,2049-3258,2
2590-1095,,4
2538-6247,,4
2618-6500,,4
0004-0002,1573-2800,2
1381-1118,1543-6136,3
1231-0956,2083-6023,4
0340-5761,1432-0738,2
2251-953X,2251-9599,4
0304-8608,1432-8798,4
1434-1816,1435-1102,3
1124-3562,2282-4197,4
0391-7770,2036-4660,3
0066-6742,1988-3110,4
0004-0428,1988-8511,4
0325-0075,1668-3501,4
0300-2896,1579-2129,3
1405-9940,,4
1657-320X,2339-3874,4
0004-0614,1576-8260,4
0004-0622,2309-5806,4
0004-069X,1661-4917,4
1212-5059,,4
0570-7218,2341-1120,4
0518-3766,2545-3491,4
2631-6862,1938-7806,2
1523-0430,1938-4246,4
2368-7460,,4
0004-0843,1923-1245,4
0373-2266,2213-1175,4
0570-7358,2341-0825,3
2254-8319,,4
1578-8393,,4
2379-2949,2379-2957,3
0004-0894,1475-4762,3
0211-6707,1989-6190,4
1134-6396,,4
0004-0975,1080-6504,2
2314-3576,,4
1946-2166,1946-2174,3
1233-5835,2720-5088,4
1051-1431,2576-8476,3
1565-8961,,4
0920-427X,1572-8374,2
1139-3327,2253-8151,4
1984-4247,1984-4255,4
0235-3490,2616-499X,4
0570-8966,,4
0004-1254,1848-6312,4
2079-0961,2079-0988,4
1532-4982,1532-4990,3
0004-1327,1920-1222,3
1567-9896,1570-0593,3
0095-5809,,4
2037-4488,2385-2895,4
0004-1610,1558-9595,4
0004-1823,2327-1213,4
0004-2080,1871-2487,3
1551-7004,1551-7012,4
0095-327X,1556-0848,3
1829-1163,,4
1741-6124,1749-6268,4
2307-549X,2410-9355,4
2795-4552,,4
1359-1355,1474-0516,4
0717-6996,,4
1695-2731,1989-5313,4
1989-4104,,4
1134-3184,2386-5423,4
0327-5159,1853-8126,4
0716-2677,0719-6466,4
1808-5741,,4
0102-0935,1678-4162,4
1982-3053,,4
0066-782X,1678-4170,4
0004-2749,1678-2925,4
1809-5267,,4
0004-282X,1678-4227,4
1729-3693,1810-5882,4
2590-0056,,4
2050-3369,2050-3377,3
1854-9632,2350-4218,4
1848-1590,1848-7459,3
1989-9262,,4
1136-3711,2339-9775,4
1565-6721,2516-4252,3
1855-3966,1855-3974,4
0571-1371,,3
0004-2927,2340-9894,4
2213-4905,2213-4913,1
0004-3079,1559-6478,1
1474-273X,2040-0896,4
0730-7187,2161-9417,3
0141-6790,1467-8365,2
0004-3214,,4
0004-3249,2325-5307,3
2596-1802,2596-1810,4
0742-1656,2159-9394,4
2148-3582,,4
1516-8603,2178-3845,3
1131-5598,1988-2408,3
2254-2930,2254-7673,4
1889-979X,1989-8452,4
2449-6170,2449-6162,4
1079-5642,1524-4636,1
1872-9312,1876-4401,4
1886-6190,1988-8309,4
1086-7058,,4
2326-5191,2326-5205,1
2151-464X,2151-4658,2
1478-6354,1478-6362,2
2352-3441,,4
2524-7948,,3
1467-8039,1873-5495,2
1863-7221,1864-8312,2
1872-8855,1872-8847,3
0136-006X,,4
2212-6287,,4
0749-8063,1526-3231,2
0933-7946,1434-3924,4
1558-8831,2333-3154,3
1078-6279,1934-1539,2
0587-5455,1848-9303,3
0004-3648,,3
0391-9064,,2
1594-378X,,4
2169-1401,2169-141X,2
0924-8463,1572-8382,2
2589-7217,,1
2666-5441,,4
0933-3657,1873-2860,2
0269-2821,1573-7462,1
0004-3702,1872-7921,2
1433-5298,1614-7456,4
1064-5462,1530-9185,4
0160-564X,1525-1594,4
0208-841X,2083-6104,4
2162-2574,2162-2582,3
1695-5951,,4
1753-3015,1753-3023,3
1474-0222,1741-265X,4
2056-4945,2056-4953,4
0197-4556,1873-5878,4
0004-4083,,4
2076-0752,,3
1735-3955,2251-6638,4
1575-166X,2173-6847,4
1058-2916,1538-943X,3
2376-7642,,3
2332-9017,2332-9025,4
1016-4987,1865-9438,4
0210-4466,1988-3102,4
0001-2491,1943-6637,4
2050-2680,,4
1610-2932,1612-1031,3
2233-8276,2233-8268,4
1360-2381,1743-792X,4
1598-1037,1876-407X,3
1444-2213,1740-9314,3
0964-7058,1440-6047,4
2150-7686,2150-7708,4
0218-8791,1742-6855,4
1385-2140,1875-8258,4
2204-3136,,4
1038-4111,1744-7941,3
2071-1395,2398-7812,3
0217-4561,1572-9958,3
1355-5855,1758-4248,3
2327-6665,2327-6673,4
0218-5385,2165-0993,4
1094-1665,1741-6507,3
1019-2557,1875-8444,3
1029-3132,,2
2424-9335,2424-9270,4
2330-6343,2330-6351,3
1360-7456,1467-8373,3
2832-157X,,4
0119-5646,2243-7908,2
1387-2834,1573-6946,4
1608-1625,2164-2257,4
1976-7633,1976-7951,4
1757-4323,1757-4331,3
1932-2135,1932-2143,4
1743-7555,1743-7563,4
2041-9945,2041-6156,4
2451-9367,2451-9391,4
2347-5625,2349-6673,4
0217-5959,1793-7019,4
2162-0989,,2
1010-5395,1941-2479,4
2509-7946,2509-7954,4
2214-6873,,4
1359-866X,1469-2945,4
1557-4660,,4
2215-1354,2215-1362,4
1675-3194,,4
1758-5864,1758-5872,4
1343-9006,1469-2937,4
2364-1177,,4
1823-4992,2180-4192,4
1394-2603,1985-8280,4
0306-8374,1477-1500,3
1948-1985,1948-1993,2
1335-1257,2585-8793,3
0117-1968,2057-049X,3
1793-8759,1793-9453,3
1905-7415,1875-855X,4
0972-7566,,4
1472-4782,1476-9328,4
0218-9275,1793-6772,4
1059-440X,2049-6710,3
0116-1105,1996-7241,4
2352-3077,2352-3085,4
1351-3958,1467-8381,4
1535-3516,1536-0083,3
1832-8105,1748-3131,3
2046-3162,2046-3170,4
1348-8678,2331-2548,2
1463-1369,1469-2953,3
1022-5706,2158-1762,3
2095-0357,,3
2180-3838,,4
2307-8553,,4
1656-4383,,4
1008-682X,1745-7262,2
2985-1610,,4
1976-6912,2287-1160,4
1985-4064,2180-3137,4
2210-6723,2210-6731,3
0129-2986,1742-0911,3
2057-8911,2057-892X,3
1561-8625,1934-6093,4
1871-0131,1871-014X,3
1758-5902,1758-5910,4
2044-2513,2044-2521,4
2194-6086,2154-4611,4
2052-9015,2052-9023,4
0972-8201,0973-0621,4
1093-6106,1945-0036,4
2576-5949,2576-5957,4
2193-5807,2193-5815,3
2250-1444,2250-1460,4
1818-0876,,1
0973-8398,1998-409X,4
0218-5377,1750-7812,4
1876-2018,1876-2026,3
2092-5212,2352-4871,3
2772-4204,,2
1367-2223,1467-839X,3
1568-4849,1568-5314,4
1015-9584,0219-3108,3
1976-1597,2158-6721,4
0973-6247,1998-3565,4
2214-3882,2214-3890,3
0972-9860,1875-8568,4
1225-9276,2377-004X,4
1819-5164,,4
0044-9202,1553-5630,2
1985-1944,,3
1976-1317,2093-7482,4
2287-2434,2093-7776,4
0125-877X,2228-8694,4
2305-0500,2305-0519,4
2221-1691,2588-9222,4
1995-7645,2352-4146,4
0258-9184,2288-2871,3
0066-8435,1535-8283,4
0955-2367,1469-2961,3
1943-0779,1943-0787,4
1744-1730,1744-1749,3
1321-7348,1758-8863,4
2287-965X,2287-9811,4
1753-1403,1753-1411,4
1976-1902,1976-7846,3
1035-7823,1467-8403,3
2232-5131,2350-4226,4
0004-4687,1533-838X,3
0742-5457,1527-2109,2
1225-925X,2586-5714,4
1793-5571,1793-7183,4
0818-9935,1467-8411,4
2363-5169,,3
1943-9938,1943-9946,4
2214-2304,2214-2312,3
1985-3106,,4
2050-3806,1758-3748,4
2832-8450,2832-8469,4
1759-0914,,4
1933-2882,1933-2890,4
2408-1469,,4
1540-658X,1557-8127,4
1075-2935,1873-5916,1
0260-2938,1469-297X,2
1534-5084,1938-7458,4
0969-594X,1465-329X,2
1073-1911,1552-3489,2
1592-5986,2038-1778,4
1040-0435,1949-3614,4
1863-8171,1863-818X,4
1762-6110,,4
0303-1179,2492-5926,4
1308-9234,,4
0515-0361,1783-1350,3
1531-1074,1557-8070,2
2522-008X,2522-0098,2
1668-7515,,4
0004-6256,1538-3881,2
0004-6337,1521-3994,4
0004-6361,1432-0746,2
1366-8781,1468-4004,4
0935-4956,1432-0754,1
2213-1337,2213-1345,4
1063-7737,1562-6873,4
1063-7729,1562-6881,4
0927-6505,1873-2852,3
1990-3413,1990-3421,4
2041-8205,2041-8213,1
0067-0049,1538-4365,2
0004-637X,1538-4357,2
0004-640X,1572-946X,4
0571-7256,1573-8191,4
0921-7134,1875-8576,4
0178-2312,2196-677X,4
2340-1176,,3
1885-3730,2340-6992,4
1982-1956,,4
1760-7914,,4
2109-9103,,4
1718-9977,,4
1682-2749,,4
0212-6567,1578-1275,4
0718-0462,,4
0004-6574,,4
1578-8946,,4
2667-0909,2667-0895,4
0021-9150,1879-1484,2
0261-1929,2632-3559,4
0197-4254,1573-9678,4
0843-5561,1718-7885,4
1545-6870,1545-6889,4
1521-3293,2371-9680,4
1478-8810,1740-4649,3
0702-7818,1715-0698,4
0210-6124,1989-6840,3
0187-6236,2395-8812,4
1598-3560,2288-3266,4
0705-5900,1480-9214,4
2073-4433,,4
1024-8560,2070-0393,4
1674-2834,2376-6123,2
1680-7316,1680-7324,1
2590-1621,,3
1352-2310,1873-2844,3
1867-1381,1867-8548,3
1309-1042,,3
0169-8095,1873-2895,2
1530-261X,,4
